item_id,with_context,without_context
Learning_to_operate_-with-image-refs,"This chart shows how the hall-effect sensor detects hand movements across different phases of reaching: button press, openness, and closing velocity. The red line indicates the sensor's signal strength, while the green line shows the opening velocity. Key insights include higher signal strength during transport and button presses compared to opening, indicating better sensor response during gripping and releasing phases.","The chart shows a sequence of button interactions with varying button press and openness metrics. During ""Release"" motion, a significant increase in button press and openness is observed, indicating a rapid and potentially successful interaction. In contrast, during ""Transport"" motion, there is a sharp decline in both button press and openness, suggesting a lack of immediate response or engagement. This pattern highlights a transition phase where the system's responsiveness and readiness for interaction changes significantly."
Machine_Learning-Bas-with-image-refs,"This chart shows the top 10 feature importances from a Random Forest classifier, with ""EEG_159"" having the highest importance of 0.215, indicating it is the most influential predictor. The visualization highlights that ""EEG_12"" and ""EEG_159"" are among the strongest predictors, suggesting their significance in the model performance. The high accuracy, precision, and recall values further validate the effectiveness of these top features, making them critical for reliable predictions.","The chart shows the top 10 feature importances from a Random Forest analysis, ranked based on their significance. EEG_159 has the highest importance, followed closely by EEG_158 and EEG_44. EEG_12 and EEG_71 have moderate importance, while EEG_13 and EEG_156 are slightly lower. The differences suggest varying levels of importance across different EEG recordings, with EEG_159 being the most significant at 0.220."
Beyond_the_Exponenti-with-image-refs,"The chart illustrates how subjective value decreases across temporal, probabilistic, and effort costs, reflecting the brain's tendency to discount delayed or less valuable information. This aligns with the thermodynamic metaphor of entropy accumulation, showing that higher costs (time, effort, or probability) lead to lower perceived value, highlighting the brain's energy-constrained nature in decision-making.","The chart shows that as the cost increases, subjective values decrease across three dimensions: temporal, probabilistic, and effort. Higher costs correlate with lower subjective values, suggesting a trade-off between cost and subjective judgment."
Oral_Language_Outcom-with-image-refs,"The chart illustrates the changes in language macrostructure outcomes across different phases and interventions for English and Spanish participants, highlighting improvements and fluctuations over time. In English, the total score generally decreases from baseline to maintenance phases, with notable increases during interventions, particularly in later phases. Spanish shows similar trends but with slightly more variability and minor fluctuations. The data indicates that while English participants show more consistent improvements, Spanish participants experience more variability, suggesting differences in linguistic proficiency or intervention effects. This suggests that targeted interventions may be more effective for English speakers, though Spanish participants' scores show greater inconsistency.","The chart shows participant scores over various interventions and maintenance periods using both English and Spanish. English participants generally perform better than Spanish participants across most interventions, with a notable improvement post-intervention 4 for English. Spanish scores show fluctuations but generally remain higher than English scores. Maintenance periods show slight improvements in both languages, with English scores slightly higher than Spanish. Overall, English interventions lead to better performance compared to Spanish."
The_Promise_of_Maste-with-image-refs,"This chart illustrates how students with lower first attempt scores are significantly more likely to repeat tests, highlighting a strong correlation between initial skill level and repeated testing. The data shows that as scores decline, the proportion of students repeating tests increases, with only 21% of students who scored above 80% retaking a test, suggesting that a score of 80% or higher is a strong predictor of retaking. This underscores the importance of strong foundational skills in avoiding repeated testing and emphasizes the impact of repeated attempts on performance.","The chart shows that as students attempt to repeat their test score, the proportion of students who repeat decreases, with the lowest rate at 100 attempts. This suggests that higher scores are more likely to be repeated, while lower scores are less likely."
"Yu,_Heng,_Arden-Gard-with-image-refs","The chart illustrates how feedback affects the proportion of correct responses across different learning conditions. Feedback significantly improves performance on both tested and unstested questions, with a moderate effect size in the presence of feedback. The interaction between feedback and learning objectives shows a highly significant main effect of feedback on question type, indicating that the impact of learning objectives varies with the presence or absence of feedback. This highlights the importance of balancing learning objectives with feedback strategies to optimize performance.","The chart compares the proportion of questions answered correctly in two scenarios: ""Prequestioning with Feedback"" versus ""Prequestioning with No Feedback"" and ""Control"" versus ""Prequestioning with No Feedback (Learning Objectives)."" Both groups demonstrate high accuracy in tested questions, with feedback improving performance. However, the percentage of correct answers in the ""Prequestioning with Feedback"" condition is consistently higher than in the ""Control"" group, indicating that providing feedback enhances learning outcomes. The chart also highlights the effectiveness of learning objectives in improving performance across all tested and untested questions."
A_Human-centered_Con-with-image-refs,"The chart shows that EV and PHEV users charge their cars at varying frequencies compared to combustion engine users, with higher percentages of EV users charging less often than once a month. Public charging station usage among EV users is similar to PHEV users, with a slight increase in weekly charging. This data highlights the importance of understanding charging habits to optimize battery health and reduce discomfort.","The chart shows that battery electric vehicle users are more likely to feel uncomfortable when the power level falls below 50% or 75%, with 46.8% and 38.1% experiencing discomfort respectively compared to 57.9% and 42.6% for combustion engine users. Even with warnings, users are only slightly more likely to feel uncomfortable with battery electric vehicles (25.0% vs 13.1% based on light warnings) compared to combustion engines (1.4% vs 1.8%)."
Effector-specificity-with-image-refs,"The charts demonstrate that naturalness and dexterity hypothesize foot tapping to have lower variability, while the central pattern generator hypothesis suggests similar variability across rhythms. Both suggest foot tapping is more efficient, though variability trends differ based on rhythm complexity.","The chart illustrates how tapping variability varies with rhythmic complexity across three hypotheses: Naturalness, Dexterity, and CPG Hypothesis. Across all hypotheses, tapping variability increases as rhythmic complexity increases, suggesting a positive relationship. The foot consistently shows higher variability compared to the finger, indicating potentially greater adaptability or complexity in foot tapping."
Generative_Artificia-with-image-refs,"The chart illustrates that the generative AI dependency scale shows strong support for cognitive preoccupation, with high correlations to negative consequences and withdrawal. It highlights a moderate increase in problematic work completions and less confidence in abilities, suggesting a nuanced impact of AI dependency. Key findings indicate that negative consequences and withdrawal are associated with several specific factors, emphasizing the multifaceted nature of AI dependency.","The chart illustrates that Generative AI Dependency scores of 0.934 and 0.962 are significantly higher than Cognitive Preoccupation scores of 0.911 and 0.818, respectively. This suggests that while Generative AI dependency is more dependent on the system, Cognitive Preoccupation is more about related concerns. Negative Consequences also show varied impact, with 703, 799, and 853 scores indicating different levels of distress. Withdrawal and other negative effects vary widely, with scores ranging from 0.600 to 0.894, indicating a wide range of impacts. Overall, the chart highlights the significant influence of Generative AI Dependency on overall mental health outcomes."
Identifying_Psycholo-with-image-refs,"This chart illustrates the association scores between psychological factors and safe listening levels, with a focus on Cohen's d values. Factors like ""Future Orientation"" and ""Experiential Attitude"" show strong associations with higher safe listening, while others like ""Instrumental Attitude"" and ""Social Norms"" have weaker or no significant associations. The right panel highlights the confidence intervals for these associations, indicating the reliability of the findings.","This visualization shows the correlation between various factors and their corresponding scores and means. Significant positive correlations are evident across many factors, with notable clusters indicating strong associations. The 95% confidence intervals highlight the reliability of these associations, showing a broad range of values for each factor."
Impact_of_cash-out_a-with-image-refs,"The chart illustrates how cash-out availability affects bet riskiness among participants with varying levels of gambling product moderation (PGSI). In the low-PGSI subgroup, cash-out availability significantly increased the implied win probability (W=5654.4, p=0.18), but in the high-PGSI subgroup, this effect was negligible (W=985, p=0.55). This suggests that lower PGSI participants are more likely to engage in riskier bets when cash-out is available, while higher PGSI participants are less influenced by cash-out availability.","The chart shows that bet risk varies significantly by PGSI subgroup. In the ""Low PGSI"" group, the probability of a ""No Cash-out Available"" is 0.30, while in the ""High PGSI"" group, it is 0.20. Conversely, ""No Cash-out Available"" has a lower probability in the ""High PGSI"" group (0.15) compared to ""Low PGSI"" (0.20). The p-values indicate statistically significant differences (p=0.18 and p=0.55), suggesting these differences are unlikely to be due to random chance."
Instrumental_variabl-with-image-refs,"This path diagram illustrates how teacher-assigned homework (instrument) influences student homework, ultimately affecting math achievement (outcome). The diagram highlights potential differential item functioning (DIF) among five math items (I1-I5), indicating that some items may be more directly influenced by homework time than others. To address this, the study introduces approaches to handle DIF, ensuring accurate estimation of the treatment effect while correcting for measurement bias.","This visualization shows the relationship between teacher homework (HW), student homework (HW), and math impact. Teachers impact student homework and the impact of student homework on math scores. Teacher homework has direct differences (DIF) in five specific scenarios (I1-I5). The diagram highlights the influence of teacher actions on student outcomes, emphasizing the importance of teacher interventions in improving math performance."
Interpersonal_Cardia-with-image-refs,"The chart compares inter-beat interval (IBI) fluctuations over time for support providers and support receivers, showing significant variability between the two groups. Panel B reveals a cross-correlation analysis indicating no significant correlation between IBI patterns across participants. This suggests that while IBI varies, the underlying trends do not strongly indicate a relationship between the two groups.","The chart shows fluctuations in inter-beat intervals between a support provider and a support receiver over time, indicating variability in support delivery. Panel B reveals strong positive cross-correlation between the two groups across various lags, suggesting consistent support effects."
Introducing_the_koll-with-image-refs,"The chart compares fixations detected by the I-VT algorithm across three different velocity threshold settings (25°, 30°, and 50°). All three settings yield consistent results in the data segment, suggesting that the I-VT algorithm performs similarly across varying thresholds. However, the I2MC algorithm detects a fixation in the upper part of the plot for the 50° setting, which is not observed by the I-VT algorithm. This indicates potential algorithmic differences, particularly noticeable in noisy data segments, warranting further investigation. The data highlights the importance of considering algorithmic differences in analysis, especially when studying group differences or focusing on specific outcome measures.","The chart compares gaze position X and Y across different viewing angles (25°, 30°, 50°) for three conditions: ivt_25 deg., ivt_30 deg., and ivt_50 deg. The data shows that at 25°, gaze position X is lowest for all conditions, with significant differences between them. As viewing angle increases, gaze position X increases, while gaze position Y fluctuates. The 50° condition shows the highest gaze position X across all angles, indicating that this angle likely results in the most stable gaze alignment."
Learning_visual_appe-with-image-refs,"This visualization shows that both sighted and congenitally blind participants consistently assigned more colors to artifacts intended for a functional purpose compared to those with no intent. GPT-4, while similar in pattern to human judgment, shows less variation in color assignments across conditions, suggesting it relies more on memory rather than intent. Differences in color labels and color assignments highlight how blind individuals use inferred intent to predict object colorfulness, reinforcing the hypothesis that color inference is linked to intention.","The chart shows that both ""Sighted"" and ""Congenitally blind"" individuals exhibit significantly lower mean colors per condition compared to those using GPT-4, indicating reduced color perception or recognition. This suggests a potential impact of visual impairment on color processing."
"Power,_Privilege,_an-with-image-refs","Creating an inclusive departmental environment requires a multifaceted approach that addresses both the needs and challenges of diverse identities and experiences. The chart outlines several key components and their implications:

1. **Alignment** - The foundation of an inclusive culture involves recognizing and accommodating different ideals, policies, and norms. This commitment ensures that diverse identities and experiences are respected and integrated into the organizational framework.

2. **Awareness** - Establishing an acculturated climate is critical for creating a supportive and equitable environment. Awareness includes setting clear goals, promoting cultural inclusivity, and retaining a diverse faculty. This proactive stance helps prevent unconscious biases and promotes a sense of belonging among all members.

3. **Analysis** - Understanding the preconditions for cultural change is essential. This involves identifying the specific conditions that might hinder or facilitate inclusive practices, such as existing structures that favor privilege and resistance to change. Addressing these preconditions through conscious effort is key to fostering genuine acculturation.

By addressing these elements, departments can cultivate environments that not only honor diversity but also empower individuals to thrive within their roles. The chart emphasizes the importance of institutional alignment, cultural accountability, and strategic engagement in achieving true inclusivity and equity.","The chart outlines a structured approach to achieving inclusive departmental practices, emphasizing alignment, awareness, and analysis. Alignment involves reconciling ideals, policies, and norms, with promises like institutional alignment and organizational justice. Threats include participation inequality and emotional burnout. Awareness focuses on creating an accultured climate, with promises for cultural inclusiveness and a diverse faculty. Analysis identifies cultural preconditions for change, with threats like encultured norms and lack of accountability. The outcomes emphasize the cultivation of aligned practices and a respect for cultural variation, as well as a critically engaged culture that acknowledges dynamics of stability and change."
Strong_primary_cue_w-with-image-refs,"The scatterplot illustrates how the proportion of ""study MUSIC"" varies with duration levels across different categories of performance. Individuals with higher duration levels tend to show a greater proportion of the study, suggesting their engagement with the task. This indicates that longer durations may correlate with greater involvement or task completion, potentially reflecting factors like time investment or task complexity. The data highlights that performance differences across categories are consistent across varying duration levels, emphasizing the importance of duration as a primary consideration in assessing task-related engagement.","The chart shows a positive relationship between study duration and the proportion of ""study MUSIC"" performed, with some variability. Longer durations correlate with higher proportions of music study, indicating increased engagement in this activity as time progresses."
The_Humble_Self-Conc-with-image-refs,"The HSCM framework emphasizes unconditional worth as a foundation for resilience and self-compassion, rejecting conditional systems and promoting a virtuous cycle of resilience, truth-seeking, and harm mitigation. It highlights the importance of embracing imperfection and continuous effort, while acknowledging the role of past states and limitations without self-harm. The approach is grounded in principles of humility, empathy, and universal effort, aiming to foster self-forgiveness and adaptability.","The chart outlines principles for a moral framework focusing on harm mitigation and well-being, emphasizing empathy and restorative fairness. It highlights the tension between unconditional worth and self-compassion, suggesting that while principles like universal empathy and restorative fairness may support well-being, the inherent need for self-compassion and humility can lead to a more idealized and idealized self-image. The chart suggests that acknowledging the ""Ought Imply Can"" and ""Treat Like Cases Alike"" may undermine these ideal outcomes, leading to an unsustainable cycle of resilience, truth-seeking, and harm mitigation."
The_Myth_of_Publicat-with-image-refs,"The chart shows that in the field of parapsychology, 32.5% of positive outcomes are observed, but in mainstream psychology, this figure rises significantly to 96% for the most recent study. This indicates a higher prevalence of positive results in mainstream psychology compared to parapsychology, suggesting more rigorous experimental methods and larger sample sizes in mainstream psychology. The data highlights the importance of considering the file-drawer problem in parapsychology, as it has historically been a significant issue influencing the reporting of results.","The bar chart shows varying success rates in different research fields, with the strongest performance in Mainstream Psychology (96%) and Mainstream Psychology (Scheel et al. 2021; 152%). While Parapsychology has a significantly lower success rate at 32.5%, the mainstream fields demonstrate a consistent high success rate, indicating the effectiveness and reliability of mainstream psychological research methods."
